sample_id,source_dataset,participant_id,label_lsm,label_group,label_status,split_external,video_internal_path,source_filename_stem,feature_status,feature_path,feature_error
mendeley_labeled15_P01_be5d0f3e7cd2a007,5s4mt7xrd9.1,P01,a,dactylology,accepted,train,Mexican Sign Languages Dactylology and Ten First Numbers - Labeled images and videos. From person #1 to #5/persona_1/Ciclo_1_5_Derecha/Ciclo_1_5_Derecha_a.mp4,Ciclo_1_5_Derecha_a,pending,,
mendeley_labeled15_P01_585a1dbe4cab96a4,5s4mt7xrd9.1,P01,a,dactylology,accepted,train,Mexican Sign Languages Dactylology and Ten First Numbers - Labeled images and videos. From person #1 to #5/persona_1/Ciclo_1_5_Izquierda/Ciclo_1_5_Izquierda_a.mp4,Ciclo_1_5_Izquierda_a,pending,,
mendeley_labeled15_P01_869b602446e8c7ff,5s4mt7xrd9.1,P01,a,dactylology,accepted,train,Mexican Sign Languages Dactylology and Ten First Numbers - Labeled images and videos. From person #1 to #5/persona_1/Ciclo_2_5_Derecha/Ciclo_2_5_Derecha_a.mp4,Ciclo_2_5_Derecha_a,pending,,
mendeley_labeled15_P01_713561ef8d9a5b24,5s4mt7xrd9.1,P01,a,dactylology,accepted,train,Mexican Sign Languages Dactylology and Ten First Numbers - Labeled images and videos. From person #1 to #5/persona_1/Ciclo_2_5_Izquierda/Ciclo_2_5_Izquierda_a.mp4,Ciclo_2_5_Izquierda_a,pending,,
mendeley_labeled15_P01_9dc52e75df670fb2,5s4mt7xrd9.1,P01,a,dactylology,accepted,train,Mexican Sign Languages Dactylology and Ten First Numbers - Labeled images and videos. From person #1 to #5/persona_1/Ciclo_3_5_Derecha/Ciclo_3_5_Derecha_a.mp4,Ciclo_3_5_Derecha_a,pending,,
mendeley_labeled15_P01_41a43569787d0edf,5s4mt7xrd9.1,P01,a,dactylology,accepted,train,Mexican Sign Languages Dactylology and Ten First Numbers - Labeled images and videos. From person #1 to #5/persona_1/Ciclo_3_5_Izquierda/Ciclo_3_5_Izquierda_a.mp4,Ciclo_3_5_Izquierda_a,pending,,
mendeley_labeled15_P01_6240ea136ba239f1,5s4mt7xrd9.1,P01,a,dactylology,accepted,train,Mexican Sign Languages Dactylology and Ten First Numbers - Labeled images and videos. From person #1 to #5/persona_1/Ciclo_4_5_Derecha/Ciclo_4_5_Derecha_a.mp4,Ciclo_4_5_Derecha_a,pending,,
mendeley_labeled15_P01_a279a7d2a68ec246,5s4mt7xrd9.1,P01,a,dactylology,accepted,train,Mexican Sign Languages Dactylology and Ten First Numbers - Labeled images and videos. From person #1 to #5/persona_1/Ciclo_4_5_Izquierda/Ciclo_4_5_Izquierda_a.mp4,Ciclo_4_5_Izquierda_a,pending,,
mendeley_labeled15_P01_95c8eec77c790374,5s4mt7xrd9.1,P01,a,dactylology,accepted,train,Mexican Sign Languages Dactylology and Ten First Numbers - Labeled images and videos. From person #1 to #5/persona_1/Ciclo_5_5_Derecha/Ciclo_5_5_Derecha_a.mp4,Ciclo_5_5_Derecha_a,pending,,
mendeley_labeled15_P01_81f230160b7b1d56,5s4mt7xrd9.1,P01,a,dactylology,accepted,train,Mexican Sign Languages Dactylology and Ten First Numbers - Labeled images and videos. From person #1 to #5/persona_1/Ciclo_5_5_Izquierda/Ciclo_5_5_Izquierda_a.mp4,Ciclo_5_5_Izquierda_a,pending,,
mendeley_labeled15_P01_d4728572d445905e,5s4mt7xrd9.1,P01,b,dactylology,accepted,train,Mexican Sign Languages Dactylology and Ten First Numbers - Labeled images and videos. From person #1 to #5/persona_1/Ciclo_1_5_Derecha/Ciclo_1_5_Derecha_b.mp4,Ciclo_1_5_Derecha_b,pending,,
mendeley_labeled15_P01_68b93bad65a70d64,5s4mt7xrd9.1,P01,b,dactylology,accepted,train,Mexican Sign Languages Dactylology and Ten First Numbers - Labeled images and videos. From person #1 to #5/persona_1/Ciclo_1_5_Izquierda/Ciclo_1_5_Izquierda_b.mp4,Ciclo_1_5_Izquierda_b,pending,,
mendeley_labeled15_P01_8bd6711101f03cf4,5s4mt7xrd9.1,P01,b,dactylology,accepted,train,Mexican Sign Languages Dactylology and Ten First Numbers - Labeled images and videos. From person #1 to #5/persona_1/Ciclo_2_5_Derecha/Ciclo_2_5_Derecha_b.mp4,Ciclo_2_5_Derecha_b,pending,,
