sample_id,label,label_id,word,word_id,grouping,image_count,feature_path,bone_degenerate_hands,status,split
01001,001,001,good_morning,good_morning,Greetings,13,bone_vector126\001\01001.npy,0,ok,validation
02001,001,001,good_morning,good_morning,Greetings,13,bone_vector126\001\02001.npy,0,ok,train
03001,001,001,good_morning,good_morning,Greetings,13,bone_vector126\001\03001.npy,0,ok,test
04001,001,001,good_morning,good_morning,Greetings,12,bone_vector126\001\04001.npy,0,ok,train
05001,001,001,good_morning,good_morning,Greetings,21,bone_vector126\001\05001.npy,0,ok,train
06001,001,001,good_morning,good_morning,Greetings,10,bone_vector126\001\06001.npy,0,ok,train
07001,001,001,good_morning,good_morning,Greetings,11,bone_vector126\001\07001.npy,0,ok,test
08001,001,001,good_morning,good_morning,Greetings,13,bone_vector126\001\08001.npy,0,ok,train
09001,001,001,good_morning,good_morning,Greetings,10,bone_vector126\001\09001.npy,0,ok,validation
10001,001,001,good_morning,good_morning,Greetings,10,bone_vector126\001\10001.npy,0,ok,train
11001,001,001,good_morning,good_morning,Greetings,11,bone_vector126\001\11001.npy,0,ok,train
01002,002,002,good_afternoon,good_afternoon,,15,bone_vector126\002\01002.npy,0,ok,train
02002,002,002,good_afternoon,good_afternoon,,11,bone_vector126\002\02002.npy,0,ok,train
03002,002,002,good_afternoon,good_afternoon,,11,bone_vector126\002\03002.npy,0,ok,test
04002,002,002,good_afternoon,good_afternoon,,12,bone_vector126\002\04002.npy,0,ok,validation
05002,002,002,good_afternoon,good_afternoon,,15,bone_vector126\002\05002.npy,0,ok,train
06002,002,002,good_afternoon,good_afternoon,,12,bone_vector126\002\06002.npy,0,ok,train
07002,002,002,good_afternoon,good_afternoon,,10,bone_vector126\002\07002.npy,0,ok,validation
08002,002,002,good_afternoon,good_afternoon,,14,bone_vector126\002\08002.npy,0,ok,validation
09002,002,002,good_afternoon,good_afternoon,,11,bone_vector126\002\09002.npy,0,ok,train
10002,002,002,good_afternoon,good_afternoon,,13,bone_vector126\002\10002.npy,0,ok,train
11002,002,002,good_afternoon,good_afternoon,,15,bone_vector126\002\11002.npy,0,ok,train
01003,003,003,good_night,good_night,,13,bone_vector126\003\01003.npy,0,ok,train
02003,003,003,good_night,good_night,,13,bone_vector126\003\02003.npy,0,ok,train
03003,003,003,good_night,good_night,,10,bone_vector126\003\03003.npy,0,ok,train
04003,003,003,good_night,good_night,,14,bone_vector126\003\04003.npy,0,ok,train
05003,003,003,good_night,good_night,,12,bone_vector126\003\05003.npy,0,ok,train
06003,003,003,good_night,good_night,,11,bone_vector126\003\06003.npy,0,ok,train
07003,003,003,good_night,good_night,,11,bone_vector126\003\07003.npy,0,ok,train
